"module name","license","repository"
"@isaacs/cliui@8.0.2","ISC","https://github.com/yargs/cliui"
"@one-ini/wasm@0.1.1","MIT","https://github.com/one-ini/core"
"@pkgjs/parseargs@0.11.0","MIT","https://github.com/pkgjs/parseargs"
"@types/debug@4.1.13","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/ms@2.1.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/node@25.6.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/validator@13.15.10","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"abbrev@2.0.0","ISC","https://github.com/npm/abbrev-js"
"accepts@2.0.0","MIT","https://github.com/jshttp/accepts"
"ansi-regex@5.0.1","MIT","https://github.com/chalk/ansi-regex"
"ansi-regex@6.2.2","MIT","https://github.com/chalk/ansi-regex"
"ansi-styles@4.3.0","MIT","https://github.com/chalk/ansi-styles"
"ansi-styles@6.2.3","MIT","https://github.com/chalk/ansi-styles"
"anymatch@3.1.3","ISC","https://github.com/micromatch/anymatch"
"api-tok@1.0.0","ISC",""
"append-field@1.0.0","MIT","https://github.com/LinusU/node-append-field"
"at-least-node@1.0.0","ISC","https://github.com/RyanZim/at-least-node"
"aws-ssl-profiles@1.1.2","MIT","https://github.com/mysqljs/aws-ssl-profiles"
"balanced-match@1.0.2","MIT","https://github.com/juliangruber/balanced-match"
"balanced-match@4.0.4","MIT","https://github.com/juliangruber/balanced-match"
"bcrypt@6.0.0","MIT","https://github.com/kelektiv/node.bcrypt.js"
"binary-extensions@2.3.0","MIT","https://github.com/sindresorhus/binary-extensions"
"bluebird@3.7.2","MIT","https://github.com/petkaantonov/bluebird"
"body-parser@2.2.2","MIT","https://github.com/expressjs/body-parser"
"brace-expansion@2.1.0","MIT","https://github.com/juliangruber/brace-expansion"
"brace-expansion@5.0.5","MIT","https://github.com/juliangruber/brace-expansion"
"braces@3.0.3","MIT","https://github.com/micromatch/braces"
"buffer-equal-constant-time@1.0.1","BSD-3-Clause","https://github.com/goinstant/buffer-equal-constant-time"
"buffer-from@1.1.2","MIT","https://github.com/LinusU/buffer-from"
"busboy@1.6.0","MIT","https://github.com/mscdex/busboy"
"bytes@3.1.2","MIT","https://github.com/visionmedia/bytes.js"
"call-bind-apply-helpers@1.0.2","MIT","https://github.com/ljharb/call-bind-apply-helpers"
"call-bound@1.0.4","MIT","https://github.com/ljharb/call-bound"
"chokidar@3.6.0","MIT","https://github.com/paulmillr/chokidar"
"cliui@7.0.4","ISC","https://github.com/yargs/cliui"
"color-convert@2.0.1","MIT","https://github.com/Qix-/color-convert"
"color-name@1.1.4","MIT","https://github.com/colorjs/color-name"
"commander@10.0.1","MIT","https://github.com/tj/commander.js"
"concat-stream@2.0.0","MIT","https://github.com/maxogden/concat-stream"
"config-chain@1.1.13","MIT","https://github.com/dominictarr/config-chain"
"content-disposition@1.1.0","MIT","https://github.com/jshttp/content-disposition"
"content-type@1.0.5","MIT","https://github.com/jshttp/content-type"
"cookie-signature@1.2.2","MIT","https://github.com/visionmedia/node-cookie-signature"
"cookie@0.7.2","MIT","https://github.com/jshttp/cookie"
"cors@2.8.6","MIT","https://github.com/expressjs/cors"
"cross-spawn@7.0.6","MIT","https://github.com/moxystudio/node-cross-spawn"
"debug@4.4.3","MIT","https://github.com/debug-js/debug"
"denque@2.1.0","Apache-2.0","https://github.com/invertase/denque"
"depd@2.0.0","MIT","https://github.com/dougwilson/nodejs-depd"
"dotenv@17.4.2","BSD-2-Clause","https://github.com/motdotla/dotenv"
"dottie@2.0.7","MIT","https://github.com/mickhansen/dottie.js"
"dunder-proto@1.0.1","MIT","https://github.com/es-shims/dunder-proto"
"eastasianwidth@0.2.0","MIT","https://github.com/komagata/eastasianwidth"
"ecdsa-sig-formatter@1.0.11","Apache-2.0","https://github.com/Brightspace/node-ecdsa-sig-formatter"
"editorconfig@1.0.7","MIT","https://github.com/editorconfig/editorconfig-core-js"
"ee-first@1.1.1","MIT","https://github.com/jonathanong/ee-first"
"emoji-regex@8.0.0","MIT","https://github.com/mathiasbynens/emoji-regex"
"emoji-regex@9.2.2","MIT","https://github.com/mathiasbynens/emoji-regex"
"encodeurl@2.0.0","MIT","https://github.com/pillarjs/encodeurl"
"es-define-property@1.0.1","MIT","https://github.com/ljharb/es-define-property"
"es-errors@1.3.0","MIT","https://github.com/ljharb/es-errors"
"es-object-atoms@1.1.1","MIT","https://github.com/ljharb/es-object-atoms"
"escalade@3.2.0","MIT","https://github.com/lukeed/escalade"
"escape-html@1.0.3","MIT","https://github.com/component/escape-html"
"etag@1.8.1","MIT","https://github.com/jshttp/etag"
"express-rate-limit@8.4.1","MIT","https://github.com/express-rate-limit/express-rate-limit"
"express-validator@7.3.2","MIT","https://github.com/express-validator/express-validator"
"express@5.2.1","MIT","https://github.com/expressjs/express"
"fill-range@7.1.1","MIT","https://github.com/jonschlinkert/fill-range"
"finalhandler@2.1.1","MIT","https://github.com/pillarjs/finalhandler"
"foreground-child@3.3.1","ISC","https://github.com/tapjs/foreground-child"
"forwarded@0.2.0","MIT","https://github.com/jshttp/forwarded"
"fresh@2.0.0","MIT","https://github.com/jshttp/fresh"
"fs-extra@9.1.0","MIT","https://github.com/jprichardson/node-fs-extra"
"function-bind@1.1.2","MIT","https://github.com/Raynos/function-bind"
"generate-function@2.3.1","MIT","https://github.com/mafintosh/generate-function"
"get-caller-file@2.0.5","ISC","https://github.com/stefanpenner/get-caller-file"
"get-intrinsic@1.3.0","MIT","https://github.com/ljharb/get-intrinsic"
"get-proto@1.0.1","MIT","https://github.com/ljharb/get-proto"
"glob-parent@5.1.2","ISC","https://github.com/gulpjs/glob-parent"
"glob@10.5.0","ISC","https://github.com/isaacs/node-glob"
"gopd@1.2.0","MIT","https://github.com/ljharb/gopd"
"graceful-fs@4.2.11","ISC","https://github.com/isaacs/node-graceful-fs"
"has-flag@3.0.0","MIT","https://github.com/sindresorhus/has-flag"
"has-symbols@1.1.0","MIT","https://github.com/inspect-js/has-symbols"
"hasown@2.0.3","MIT","https://github.com/inspect-js/hasOwn"
"http-errors@2.0.1","MIT","https://github.com/jshttp/http-errors"
"iconv-lite@0.7.2","MIT","https://github.com/pillarjs/iconv-lite"
"ignore-by-default@1.0.1","ISC","https://github.com/novemberborn/ignore-by-default"
"inflection@1.13.4","MIT","https://github.com/dreamerslab/node.inflection"
"inherits@2.0.4","ISC","https://github.com/isaacs/inherits"
"ini@1.3.8","ISC","https://github.com/isaacs/ini"
"ip-address@10.1.0","MIT","https://github.com/beaugunderson/ip-address"
"ipaddr.js@1.9.1","MIT","https://github.com/whitequark/ipaddr.js"
"is-binary-path@2.1.0","MIT","https://github.com/sindresorhus/is-binary-path"
"is-core-module@2.16.1","MIT","https://github.com/inspect-js/is-core-module"
"is-extglob@2.1.1","MIT","https://github.com/jonschlinkert/is-extglob"
"is-fullwidth-code-point@3.0.0","MIT","https://github.com/sindresorhus/is-fullwidth-code-point"
"is-glob@4.0.3","MIT","https://github.com/micromatch/is-glob"
"is-number@7.0.0","MIT","https://github.com/jonschlinkert/is-number"
"is-promise@4.0.0","MIT","https://github.com/then/is-promise"
"is-property@1.0.2","MIT","https://github.com/mikolalysenko/is-property"
"isexe@2.0.0","ISC","https://github.com/isaacs/isexe"
"jackspeak@3.4.3","BlueOak-1.0.0","https://github.com/isaacs/jackspeak"
"js-beautify@1.15.4","MIT","https://github.com/beautifier/js-beautify"
"js-cookie@3.0.5","MIT","https://github.com/js-cookie/js-cookie"
"jsonfile@6.2.1","MIT","https://github.com/jprichardson/node-jsonfile"
"jsonwebtoken@9.0.3","MIT","https://github.com/auth0/node-jsonwebtoken"
"jwa@2.0.1","MIT","https://github.com/brianloveswords/node-jwa"
"jws@4.0.1","MIT","https://github.com/brianloveswords/node-jws"
"lodash.includes@4.3.0","MIT","https://github.com/lodash/lodash"
"lodash.isboolean@3.0.3","MIT","https://github.com/lodash/lodash"
"lodash.isinteger@4.0.4","MIT","https://github.com/lodash/lodash"
"lodash.isnumber@3.0.3","MIT","https://github.com/lodash/lodash"
"lodash.isplainobject@4.0.6","MIT","https://github.com/lodash/lodash"
"lodash.isstring@4.0.1","MIT","https://github.com/lodash/lodash"
"lodash.once@4.1.1","MIT","https://github.com/lodash/lodash"
"lodash@4.18.1","MIT","https://github.com/lodash/lodash"
"long@5.3.2","Apache-2.0","https://github.com/dcodeIO/long.js"
"lru-cache@10.4.3","ISC","https://github.com/isaacs/node-lru-cache"
"lru.min@1.1.4","MIT","https://github.com/wellwelwel/lru.min"
"math-intrinsics@1.1.0","MIT","https://github.com/es-shims/math-intrinsics"
"media-typer@0.3.0","MIT","https://github.com/jshttp/media-typer"
"media-typer@1.1.0","MIT","https://github.com/jshttp/media-typer"
"merge-descriptors@2.0.0","MIT","https://github.com/sindresorhus/merge-descriptors"
"mime-db@1.52.0","MIT","https://github.com/jshttp/mime-db"
"mime-db@1.54.0","MIT","https://github.com/jshttp/mime-db"
"mime-types@2.1.35","MIT","https://github.com/jshttp/mime-types"
"mime-types@3.0.2","MIT","https://github.com/jshttp/mime-types"
"minimatch@10.2.5","BlueOak-1.0.0","https://github.com/isaacs/minimatch"
"minimatch@9.0.9","ISC","https://github.com/isaacs/minimatch"
"minipass@7.1.3","BlueOak-1.0.0","https://github.com/isaacs/minipass"
"moment-timezone@0.5.48","MIT","https://github.com/moment/moment-timezone"
"moment@2.30.1","MIT","https://github.com/moment/moment"
"ms@2.1.3","MIT","https://github.com/vercel/ms"
"multer@2.1.1","MIT","https://github.com/expressjs/multer"
"mysql2@3.22.3","MIT","https://github.com/sidorares/node-mysql2"
"named-placeholders@1.1.6","MIT","https://github.com/mysqljs/named-placeholders"
"negotiator@1.0.0","MIT","https://github.com/jshttp/negotiator"
"node-addon-api@8.7.0","MIT","https://github.com/nodejs/node-addon-api"
"node-gyp-build@4.8.4","MIT","https://github.com/prebuild/node-gyp-build"
"nodemailer@8.0.7","MIT-0","https://github.com/nodemailer/nodemailer"
"nodemon@3.1.14","MIT","https://github.com/remy/nodemon"
"nopt@7.2.1","ISC","https://github.com/npm/nopt"
"normalize-path@3.0.0","MIT","https://github.com/jonschlinkert/normalize-path"
"object-assign@4.1.1","MIT","https://github.com/sindresorhus/object-assign"
"object-inspect@1.13.4","MIT","https://github.com/inspect-js/object-inspect"
"on-finished@2.4.1","MIT","https://github.com/jshttp/on-finished"
"once@1.4.0","ISC","https://github.com/isaacs/once"
"package-json-from-dist@1.0.1","BlueOak-1.0.0","https://github.com/isaacs/package-json-from-dist"
"parseurl@1.3.3","MIT","https://github.com/pillarjs/parseurl"
"path-key@3.1.1","MIT","https://github.com/sindresorhus/path-key"
"path-parse@1.0.7","MIT","https://github.com/jbgutierrez/path-parse"
"path-scurry@1.11.1","BlueOak-1.0.0","https://github.com/isaacs/path-scurry"
"path-to-regexp@8.4.2","MIT","https://github.com/pillarjs/path-to-regexp"
"pg-connection-string@2.12.0","MIT","https://github.com/brianc/node-postgres"
"picocolors@1.1.1","ISC","https://github.com/alexeyraspopov/picocolors"
"picomatch@2.3.2","MIT","https://github.com/micromatch/picomatch"
"proto-list@1.2.4","ISC","https://github.com/isaacs/proto-list"
"proxy-addr@2.0.7","MIT","https://github.com/jshttp/proxy-addr"
"pstree.remy@1.1.8","MIT","https://github.com/remy/pstree"
"qs@6.15.1","BSD-3-Clause","https://github.com/ljharb/qs"
"range-parser@1.2.1","MIT","https://github.com/jshttp/range-parser"
"raw-body@3.0.2","MIT","https://github.com/stream-utils/raw-body"
"readable-stream@3.6.2","MIT","https://github.com/nodejs/readable-stream"
"readdirp@3.6.0","MIT","https://github.com/paulmillr/readdirp"
"require-directory@2.1.1","MIT","https://github.com/troygoode/node-require-directory"
"resolve@1.22.12","MIT","https://github.com/browserify/resolve"
"retry-as-promised@7.1.1","MIT","https://github.com/mickhansen/retry-as-promised"
"router@2.2.0","MIT","https://github.com/pillarjs/router"
"safe-buffer@5.2.1","MIT","https://github.com/feross/safe-buffer"
"safer-buffer@2.1.2","MIT","https://github.com/ChALkeR/safer-buffer"
"semver@7.7.4","ISC","https://github.com/npm/node-semver"
"send@1.2.1","MIT","https://github.com/pillarjs/send"
"sequelize-cli@6.6.5","MIT","https://github.com/sequelize/cli"
"sequelize-pool@7.1.0","MIT","https://github.com/sushantdhiman/sequelize-pool"
"sequelize@6.37.8","MIT","https://github.com/sequelize/sequelize"
"serve-static@2.2.1","MIT","https://github.com/expressjs/serve-static"
"setprototypeof@1.2.0","ISC","https://github.com/wesleytodd/setprototypeof"
"shebang-command@2.0.0","MIT","https://github.com/kevva/shebang-command"
"shebang-regex@3.0.0","MIT","https://github.com/sindresorhus/shebang-regex"
"side-channel-list@1.0.1","MIT","https://github.com/ljharb/side-channel-list"
"side-channel-map@1.0.1","MIT","https://github.com/ljharb/side-channel-map"
"side-channel-weakmap@1.0.2","MIT","https://github.com/ljharb/side-channel-weakmap"
"side-channel@1.1.0","MIT","https://github.com/ljharb/side-channel"
"signal-exit@4.1.0","ISC","https://github.com/tapjs/signal-exit"
"simple-update-notifier@2.0.0","MIT","https://github.com/alexbrazier/simple-update-notifier"
"sql-escaper@1.3.3","MIT","https://github.com/mysqljs/sql-escaper"
"statuses@2.0.2","MIT","https://github.com/jshttp/statuses"
"streamsearch@1.1.0","MIT","https://github.com/mscdex/streamsearch"
"string-width@4.2.3","MIT","https://github.com/sindresorhus/string-width"
"string-width@5.1.2","MIT","https://github.com/sindresorhus/string-width"
"string_decoder@1.3.0","MIT","https://github.com/nodejs/string_decoder"
"strip-ansi@6.0.1","MIT","https://github.com/chalk/strip-ansi"
"strip-ansi@7.2.0","MIT","https://github.com/chalk/strip-ansi"
"supports-color@5.5.0","MIT","https://github.com/chalk/supports-color"
"supports-preserve-symlinks-flag@1.0.0","MIT","https://github.com/inspect-js/node-supports-preserve-symlinks-flag"
"to-regex-range@5.0.1","MIT","https://github.com/micromatch/to-regex-range"
"toidentifier@1.0.1","MIT","https://github.com/component/toidentifier"
"toposort-class@1.0.1","MIT","https://github.com/gustavohenke/toposort"
"touch@3.1.1","ISC","https://github.com/isaacs/node-touch"
"type-is@1.6.18","MIT","https://github.com/jshttp/type-is"
"type-is@2.0.1","MIT","https://github.com/jshttp/type-is"
"typedarray@0.0.6","MIT","https://github.com/substack/typedarray"
"umzug@2.3.0","MIT","https://github.com/sequelize/umzug"
"undefsafe@2.0.5","MIT","https://github.com/remy/undefsafe"
"undici-types@7.19.2","MIT","https://github.com/nodejs/undici"
"universalify@2.0.1","MIT","https://github.com/RyanZim/universalify"
"unpipe@1.0.0","MIT","https://github.com/stream-utils/unpipe"
"util-deprecate@1.0.2","MIT","https://github.com/TooTallNate/util-deprecate"
"uuid@8.3.2","MIT","https://github.com/uuidjs/uuid"
"validator@13.15.35","MIT","https://github.com/validatorjs/validator.js"
"vary@1.1.2","MIT","https://github.com/jshttp/vary"
"which@2.0.2","ISC","https://github.com/isaacs/node-which"
"wkx@0.5.0","MIT","https://github.com/cschwarz/wkx"
"wrap-ansi@7.0.0","MIT","https://github.com/chalk/wrap-ansi"
"wrap-ansi@8.1.0","MIT","https://github.com/chalk/wrap-ansi"
"wrappy@1.0.2","ISC","https://github.com/npm/wrappy"
"y18n@5.0.8","ISC","https://github.com/yargs/y18n"
"yargs-parser@20.2.9","ISC","https://github.com/yargs/yargs-parser"
"yargs@16.2.0","MIT","https://github.com/yargs/yargs"
